"Story","Title","Result","Date","Stability","Duration (s)"
"Basket Functionality","verify User is redirected to basket page on click of cart icon","SUCCESS","2019-06-14T14:47:53.869+05:30[Asia/Calcutta]","0.0","115.08"
"Basket Functionality","Verify user can select the quantity of the product added","SUCCESS","2019-06-14T14:49:57.459+05:30[Asia/Calcutta]","0.0","163.64"
"Cart functionality","Cart functionality","SUCCESS","2019-06-14T14:47:53.642+05:30[Asia/Calcutta]","0.0","190.83"
"Cart functionality","Navigate to cart and verify product can be removed","SUCCESS","2019-06-14T14:51:06.081+05:30[Asia/Calcutta]","0.0","148.14"
"Checkout Functionality","Verify Checkout functionality for the product added","SUCCESS","2019-06-14T14:47:53.842+05:30[Asia/Calcutta]","0.0","218.5"
"Checkout Functionality","verify user is able to select the address in checkout page","SUCCESS","2019-06-14T14:51:34.282+05:30[Asia/Calcutta]","0.0","123.0"
"Lookup a definition","Login functionality","SUCCESS","2019-06-14T14:47:53.862+05:30[Asia/Calcutta]","0.0","123.6"
"Lookup Feature","Looking up the definition of 'pear'","SUCCESS","2019-06-14T14:47:53.828+05:30[Asia/Calcutta]","0.0","44.9"
"Search for a product","Search for product in amazon website","SUCCESS","2019-06-14T14:47:53.872+05:30[Asia/Calcutta]","0.0","139.16"
"Search for a product","Verify search results pagination","SUCCESS","2019-06-14T14:50:16.212+05:30[Asia/Calcutta]","0.0","153.56"
